Name,Sex,Event,Equipment,Age,AgeClass,BirthYearClass,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,Best3DeadliftKg,TotalKg,Place,Dots,Wilks,Glossbrenner,Goodlift,Tested,Country,State,Federation,ParentFederation,Date,MeetCountry,MeetState,MeetTown,MeetName
Mara Hames,F,SBD,Raw,25,24-34,24-39,Open,75.1,76,175,182.5,-190,,182.5,95,100,-105,,100,177.5,185,190,,190,472.5,17,459.88,448.80,394.77,93.69,Yes,Germany,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Monica de La Torre,F,SBD,Raw,27.5,24-34,24-39,Open,51.85,52,125,132.5,135,,135,90,92.5,95,,95,150,160,-165,,160,390,11,476.33,487.27,431.97,98.72,Yes,Mexico,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Martina Malzová,F,SBD,Raw,27.5,24-34,24-39,Open,51.65,52,122.5,127.5,132.5,,132.5,65,-67.5,67.5,,67.5,165,172.5,-177.5,,172.5,372.5,13,456.18,466.80,413.88,94.61,Yes,Czechia,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Miriam Amri,F,SBD,Raw,27.5,24-34,24-39,Open,56.7,57,147.5,157.5,-162.5,,157.5,77.5,82.5,-85,,82.5,182.5,192.5,-197.5,,192.5,432.5,9,497.23,503.95,445.65,101.85,Yes,Netherlands,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Mayara Soares,F,SBD,Raw,30.5,24-34,24-39,Open,46.7,47,117.5,125,-130,,125,62.5,65,67.5,,67.5,122.5,130,135,,135,327.5,11,431.25,442.49,394.65,91.36,Yes,Brazil,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Kim Grech,F,SBD,Raw,31.5,24-34,24-39,Open,72.2,76,105,112.5,125,,125,57.5,62.5,67.5,,67.5,120,130,142.5,,142.5,335,25,333.02,326.37,287.46,67.74,Yes,Malta,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Lyudmila Bichok,F,SBD,Raw,32,24-34,24-39,Open,75.7,76,177.5,185,190,,190,110,117.5,-120,,117.5,197.5,210,-217.5,,210,517.5,9,501.58,489.13,430.10,102.22,Yes,Ukraine,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Catherine Portelli,F,SBD,Raw,33.5,24-34,24-39,Open,122.5,84+,-165,165,170,,170,70,75,77.5,,77.5,200,210,220,,220,467.5,11,372.99,372.47,315.25,79.87,Yes,Malta,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Zahra Al Ammar,F,SBD,Raw,33.5,24-34,24-39,Open,62.9,63,137.5,145,150,,150,67.5,75,-77.5,,75,175,182.5,190,,190,415,12,446.77,446.23,394.04,90.89,Yes,Saudi Arabia,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Lorna Cachia,F,SBD,Raw,34.5,24-34,24-39,Open,62.25,63,145,147.5,-152.5,,147.5,65,-70,-70,,65,160,-165,-165,,160,372.5,15,403.57,403.71,356.53,82.13,Yes,Malta,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Emily zur Linden,F,SBD,Raw,35.5,35-39,24-39,Open,61.95,63,170,175,180,,180,95,100,102.5,,102.5,182.5,190,-202.5,,190,472.5,6,513.44,513.97,453.94,104.51,Yes,Canada,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Shanel Mallia,F,SBD,Raw,35.5,35-39,24-39,Open,50.4,52,107.5,110,112.5,,112.5,55,60,62.5,,62.5,120,125,127.5,,127.5,302.5,23,376.90,386.26,342.84,78.51,Yes,Malta,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Ana Lucia Ruiz Vasquez,F,SBD,Raw,36.5,35-39,24-39,Open,46.95,47,120,125,127.5,,127.5,57.5,-60,-60,,57.5,140,150,-155,,150,335,9,439.38,450.89,401.97,92.96,Yes,Peru,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Jonna Alanko,F,SBD,Raw,36.5,35-39,24-39,Open,68.2,69,145,152.5,157.5,,157.5,82.5,87.5,-92.5,,87.5,170,177.5,-182.5,,177.5,422.5,20,433.61,428.05,377.53,88.11,Yes,Finland,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Daniela Vella,F,SBD,Raw,37.5,35-39,24-39,Open,82.1,84,125,-135,135,,135,57.5,60,62.5,,62.5,160,170,180,,180,377.5,19,351.20,340.60,298.24,71.94,Yes,Malta,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Maja Vaha,F,SBD,Raw,39.5,35-39,40-49,Open,90,84+,-130,130,140,,140,82.5,87.5,-92.5,,87.5,155,162.5,167.5,,167.5,395,13,352.15,341.31,296.67,72.74,Yes,Malta,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Jung Liu,M,SBD,Raw,26.5,24-34,24-39,Open,103.05,105,265,282.5,295,,295,162.5,172.5,-180,,172.5,310,325,332.5,,332.5,800,18,486.19,481.28,459.55,99.64,Yes,Taiwan,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Mohammad Morad Niay Shirjouposht,M,SBD,Raw,34.5,24-34,24-39,Open,119.7,120,310,322.5,332.5,,332.5,190,-195,-195,,190,305,320,-330,,320,842.5,11,484.26,484.65,464.41,98.04,Yes,Iran,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Liang Huang,M,SBD,Raw,18.5,18-19,19-23,Open,69.55,74,-105,105,112.5,,112.5,45,55,-60,,55,125,-140,140,,140,307.5,22,232.02,231.58,224.49,46.63,Yes,China,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Angelos Almouti,M,SBD,Raw,21.5,20-23,19-23,Open,82.3,83,220,-232.5,-232.5,,220,135,140,-142.5,,140,250,-265,265,,265,625,29,423.95,419.30,403.50,86.89,Yes,Greece,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Chun-Chia Fan,M,SBD,Raw,23.5,24-34,24-39,Open,73.25,74,235,252.5,-265,,252.5,190,200,205,,205,285,300,-305,,300,757.5,5,551.83,548.86,530.87,111.80,Yes,Taiwan,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Victor Santana,M,SBD,Raw,23,20-23,24-39,Open,82.1,83,225,237.5,-245,,237.5,132.5,-137.5,137.5,,137.5,260,275,-282.5,,275,650,27,441.52,436.71,420.30,90.47,Yes,Brazil,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Ian Pace,M,SBD,Raw,23.5,24-34,24-39,Open,82.55,83,205,220,227.5,,227.5,125,-132.5,132.5,,132.5,220,240,252.5,,252.5,612.5,30,414.76,410.17,394.65,85.02,Yes,Malta,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Aaron Grant Embuscado,M,SBD,Raw,25.5,24-34,24-39,Open,64.95,66,202.5,,,,202.5,125,130,,,130,250,-270,-270,,250,582.5,13,461.91,463.50,450.74,91.58,Yes,Philippines,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Sebastian Cociña,M,SBD,Raw,25.5,24-34,24-39,Open,119.95,120,295,-305,305,,305,205,-212.5,-212.5,,205,255,270,-275,,270,780,19,448.02,448.48,429.76,90.69,Yes,Uruguay,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Adrian Josef Perillo,M,SBD,Raw,25.5,24-34,24-39,Open,58.5,59,-155,160,-167.5,,160,-115,-115,-115,,-115,225,240,-250,,240,,DQ,,,,,Yes,Philippines,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Michael Puehringer,M,SBD,Raw,25.5,24-34,24-39,Open,82.5,83,242.5,252.5,260,,260,172.5,177.5,182.5,,182.5,260,270,280,,280,722.5,17,489.42,484.01,465.71,100.32,Yes,Austria,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Malcolm Farrugia,M,SBD,Raw,25.5,24-34,24-39,Open,103.35,105,237.5,-252.5,252.5,,252.5,142.5,150,157.5,,157.5,252.5,267.5,-282.5,,267.5,677.5,28,411.24,407.15,388.77,84.27,Yes,Malta,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Kwaku Antwi,M,SBD,Raw,26.5,24-34,24-39,Open,92.5,93,255,267.5,272.5,,272.5,190,200,-207.5,,200,327.5,342.5,-347.5,,342.5,815,10,519.90,513.29,491.38,106.90,Yes,Canada,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Jamie Cortes Heredia,M,SBD,Raw,26.5,24-34,24-39,Open,82.85,83,220,-230,235,,235,162.5,167.5,,,167.5,292.5,305,,,305,707.5,21,478.11,472.76,454.80,98.03,Yes,Spain,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Abdulrahman Mousa,M,SBD,Raw,26.5,24-34,24-39,Open,165.5,120+,370,-400,-405,,370,200,220,235,,235,340,-360,360,,360,965,4,505.68,526.34,491.95,98.83,Yes,Libya,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Derick Luu,M,SBD,Raw,27.5,24-34,24-39,Open,65.85,66,190,200,207.5,,207.5,142.5,150,-155,,150,235,250,-255,,250,607.5,11,476.80,477.90,464.43,94.81,Yes,Canada,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Wei-Xiang Zeng,M,SBD,Raw,27.5,24-34,24-39,Open,58.85,59,185,-195,195,,195,107.5,115,-120,,115,230,-245,-247.5,,230,540,10,463.15,468.84,458.33,89.48,Yes,Taiwan,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Mohamed Elhamali,M,SBD,Raw,27.5,24-34,24-39,Open,58.8,59,170,180,-190,,180,115,122.5,-125,,122.5,240,255,-262.5,,255,557.5,6,478.50,484.42,473.58,92.42,Yes,Libya,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Mikaele Kise,M,SBD,Raw,27.5,24-34,24-39,Open,91.05,93,235,250,260,,260,155,160,-165,,160,-300,305,320,,320,740,28,475.72,469.67,449.91,97.82,Yes,Singapore,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Carlos Petterson-Grifith,M,SBD,Raw,28.5,24-34,24-39,Open,92.7,93,300,320,-332,,320,160,170,172.5,,172.5,330,355,-365,,355,847.5,6,540.06,533.21,510.40,111.05,Yes,Guyana,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Kerry Dennison,M,SBD,Raw,29.5,24-34,24-39,Open,116.85,120,282.5,290,295,,295,195,202.5,210,,210,335,352.5,-357.5,,352.5,857.5,6,496.93,496.19,475.22,100.85,Yes,Canada,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Alessandro Valastro,M,SBD,Raw,31.5,24-34,24-39,Open,91.35,93,200,220,222.5,,222.5,132.5,140,-150,,140,-260,-260,-260,,-260,,DQ,,,,,Yes,Malta,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Matheus Costa,M,SBD,Raw,31.5,24-34,24-39,Open,118.95,120,285,305,320,,320,177.5,185,-190,,185,330,-352.5,-355,,330,835,13,480.96,481.05,460.93,97.44,Yes,Brazil,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Kai-Chieh Chiang,M,SBD,Raw,33.5,24-34,24-39,Open,82.05,83,285,295,-302.5,,295,170,-177.5,177.5,,177.5,-305,305,320,,320,792.5,5,538.51,532.65,512.64,110.34,Yes,Taiwan,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Roberto Junior Thomas Vargas,M,SBD,Raw,34.5,24-34,24-39,Open,80,83,220,230,-237.5,,230,142.5,147.5,-155,,147.5,240,255,-260,,255,632.5,28,436.14,431.81,416.06,89.21,Yes,Peru,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Aurélie Nguyen,F,SBD,Raw,23.5,24-34,24-39,Open,46.75,47,125,132.5,137.5,,137.5,-82.5,82.5,85,,85,167.5,177.5,185,,185,407.5,4,536.17,550.15,490.63,113.56,Yes,Canada,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Nick Manders,M,SBD,Raw,23,20-23,24-39,Open,82.55,83,255,262.5,265,,265,160,-165,165,,165,-340,340,367.5,,367.5,797.5,3,540.04,534.06,513.85,110.70,Yes,Canada,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Rashenna Grzybowski,F,SBD,Raw,27.5,24-34,24-39,Open,75.3,76,177.5,185,-190,,185,92.5,100,102.5,,102.5,190,202.5,-207.5,,202.5,490,13,476.25,464.65,408.67,97.03,Yes,Canada,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Adam Jansson,M,SBD,Raw,23.5,24-34,24-39,Open,82.6,83,270,285,-295,,285,192.5,200,205,,205,290,-305,-310,,290,780,9,528.00,522.15,502.38,108.24,Yes,Canada,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Christine Castro,F,SBD,Raw,30.5,24-34,24-39,Open,69,69,160,-165,165,,165,90,-95,-95,,90,187.5,197.5,205,,205,460,14,468.97,462.23,407.58,95.30,Yes,Canada,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Mehrdad Zafari,M,SBD,Raw,33,24-34,24-39,Open,59,59,175,182.5,190,,190,105,-115,120,,120,205,-215,215,,215,525,12,449.33,454.74,444.48,86.87,Yes,Iran,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Nicolás Urioste,M,SBD,Raw,54.5,50-54,50-59,Open,100.7,105,205,-220,-220,,205,157.5,-162.5,-162.5,,157.5,-150,-150,150,,150,512.5,30,314.51,311.04,297.05,64.53,Yes,Uruguay,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Abdulla Mohamed Ahmeed Mohamed,M,SBD,Raw,34.5,24-34,24-39,Open,103.55,105,315,325,-335,,325,202.5,210,212.5,,212.5,350,360,365,,365,902.5,3,547.38,541.98,517.51,112.15,Yes,Libya,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Amar Kanane,M,SBD,Raw,35.5,35-39,24-39,Open,92.7,93,310,325,-331.5,,325,170,177.5,-180,,177.5,315,-332.5,-332.5,,315,817.5,9,520.95,514.34,492.33,107.12,Yes,Algeria,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Franklin León,M,SBD,Raw,39.5,35-39,40-49,Open,58.8,59,205,215,222.5,,222.5,125,135,-140,,135,215,230,240,,240,597.5,3,512.84,519.18,507.56,99.05,Yes,Ecuador,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Mohamed Sahad,M,SBD,Raw,35.5,35-39,24-39,Open,119.25,120,-360,360,375,,375,205,217.5,220,,220,330,-342.5,-342.5,,330,925,2,532.35,532.59,510.32,107.82,Yes,Algeria,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Marie Jenevieve Joaquin,F,SBD,Raw,27,24-34,24-39,Open,51,52,145,152.5,157.5,,157.5,80,85,-87.5,,85,165,172.5,-177.5,,172.5,415,6,512.76,525.14,465.86,106.58,Yes,Canada,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Thomas Delamore,M,SBD,Raw,23,20-23,24-39,Open,92.55,93,240,-257.5,257.5,,257.5,-145,145,150,,150,275,285,-295,,285,692.5,36,441.64,436.03,417.40,90.81,Yes,New Zealand,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Dion Louie,M,SBD,Raw,28.5,24-34,24-39,Open,58.7,59,160,165,-167.5,,165,112.5,117.5,-120,,117.5,250,-260,260,,260,542.5,9,466.30,472.14,461.62,90.01,Yes,New Zealand,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Megan-Li Smith,F,SBD,Raw,27,24-34,24-39,Open,51.85,52,160,165,167.5,,167.5,87.5,90,-92.5,,90,167.5,175,180,,180,437.5,3,534.34,546.62,484.59,110.75,Yes,New Zealand,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Jamie King #1,M,SBD,Raw,29.5,24-34,24-39,Open,92.45,93,275,290,297.5,,297.5,167.5,175,180,,180,297.5,317.5,-322.5,,317.5,795,11,507.27,500.83,479.46,104.30,Yes,New Zealand,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Ali Abbas,M,SBD,Raw,26.5,24-34,24-39,Open,58.85,59,190,200,-202.5,,200,120,125,-127.5,,125,225,-235,-235,,225,550,8,471.73,477.52,466.82,91.13,Yes,New Zealand,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Dana Ye-Lee,F,SBD,Raw,23,20-23,24-39,Open,56.25,57,137.5,-145,145,,145,95,97.5,100,,100,160,167.5,-172.5,,167.5,412.5,15,476.73,483.66,427.78,97.73,Yes,New Zealand,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Jewel Tasi,F,SBD,Raw,24.5,24-34,24-39,Open,120.05,84+,252.5,265,277.5,,277.5,120,127.5,-132.5,,127.5,222.5,237.5,242.5,,242.5,647.5,3,519.47,517.74,438.70,110.99,Yes,New Zealand,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Evie Corrigan,F,SBD,Raw,27,24-34,24-39,Open,51.9,52,155,160,162.5,,162.5,95,97.5,100,,100,190,197.5,-203,,197.5,460,1,561.45,574.31,509.11,116.35,Yes,New Zealand,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Karlina Tongotea,F,SBD,Raw,30.5,24-34,24-39,Open,75.65,76,215,222.5,225.5,,225.5,115,120,122.5,,122.5,235,242.5,245,,245,593,1,574.95,560.71,493.06,117.17,Yes,New Zealand,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Claire Nunan,F,SBD,Raw,29,24-34,24-39,Open,83.2,84,175,185,-190,,185,110,-115,115,,115,205,215,222.5,,222.5,522.5,8,482.98,468.19,409.59,99.05,Yes,New Zealand,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Minami Satoh,F,SBD,Raw,30.5,24-34,24-39,Open,105.4,84+,-180,-180,-180,,-180,90,-97.5,-97.5,,90,165,175,-180,,175,,DQ,,,,,Yes,Japan,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Kyota Ushiyama,M,SBD,Raw,25.5,24-34,24-39,Open,65.9,66,225,242.5,247.5,,247.5,165,170,-172.5,,170,275,-292.5,-292.5,,275,692.5,3,543.20,544.43,529.06,108.04,Yes,Japan,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Yusuke Takeda,M,SBD,Raw,37.5,35-39,24-39,Open,92.45,93,255,272.5,-287.5,,272.5,190,197.5,202.5,,202.5,262.5,282.5,-302.5,,282.5,757.5,21,483.34,477.20,456.84,99.38,Yes,Japan,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Yuka Okada,F,SBD,Raw,30.5,24-34,24-39,Open,65.75,69,132.5,140,145,,145,75,80,-85,,80,180,190,200,,200,425,19,445.54,442.11,390.17,90.54,Yes,Japan,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Mirko Artosi,M,SBD,Raw,34.5,24-34,24-39,Open,92.55,93,270,285,-290,,285,160,167.5,-172.5,,167.5,280,300,315,,315,767.5,18,489.47,483.25,462.61,100.64,Yes,Italy,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Ishtyaq Nabi,M,SBD,Raw,23.5,24-34,24-39,Open,58.9,59,180,-190,-190,,180,125,130,135,,135,232.5,250,-262.5,,250,565,5,484.25,490.16,479.15,93.58,Yes,England,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Sean Isomura-Gillard,M,SBD,Raw,21.5,20-23,19-23,Open,92.7,93,220,235,245,,245,165,175,180,,180,275,287.5,-292.5,,287.5,712.5,34,454.04,448.27,429.10,93.36,Yes,Thailand,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Adejoke Adetayo,F,SBD,Raw,31.5,24-34,24-39,Open,56.05,57,157.5,167.5,172.5,,172.5,65,70,72.5,,72.5,180,195,200,,200,445,7,515.50,523.22,462.80,105.72,Yes,England,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Aftab Uddin,M,SBD,Raw,33.5,24-34,24-39,Open,65.7,66,195,207.5,-212.5,,207.5,117.5,125,-127.5,,125,235,-250,-250,,235,567.5,14,446.16,447.27,434.72,88.68,Yes,Bangladesh,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Emma Zilberman-Vegas,F,SBD,Raw,30.5,24-34,24-39,Open,56.85,57,140,145,-147.5,,145,82.5,-87.5,-87.5,,82.5,165,172.5,180,,180,407.5,21,467.68,473.84,419.01,95.77,Yes,Canada,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Brittany Schlater,F,SBD,Raw,31.5,24-34,24-39,Open,127.6,84+,255,270,281,,281,142.5,150,155,,155,235,247.5,257.5,,257.5,693.5,1,547.66,548.55,463.33,117.76,Yes,Canada,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Bruna Bisol,F,SBD,Raw,25.5,24-34,24-39,Open,68.4,69,172.5,180,185,,185,87.5,92.5,95,,95,182.5,190,197.5,,197.5,477.5,11,489.23,482.77,425.77,99.41,Yes,Brazil,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Cícera Tavares,F,SBD,Raw,46.5,45-49,40-49,Open,68.45,69,180,-187.5,-187.5,,180,95,-100,-100,,95,195,205,-220,,205,480,10,491.59,485.05,427.77,99.89,Yes,Brazil,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Irani Rodrigues Barbosa,F,SBD,Raw,36.5,35-39,24-39,Open,51.5,52,112.5,-115,115,,115,72.5,-77.5,-77.5,,72.5,137.5,142.5,147.5,,147.5,335,20,411.09,420.75,373.10,85.30,Yes,Brazil,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Pedro Lins,M,SBD,Raw,30,24-34,24-39,Open,86.7,93,230,242.5,250,,250,137.5,142.5,145,,145,-240,240,-270,,240,635,38,418.59,413.45,396.92,86.00,Yes,Brazil,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Renata Touma,F,SBD,Raw,24.5,24-34,24-39,Open,62.85,63,142.5,-147.5,-147.5,,142.5,80,85,-87.5,,85,157.5,-165,-165,,157.5,385,14,414.68,414.22,365.78,84.36,Yes,Brazil,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Giulia Cunha Costa Carvalho,F,SBD,Raw,23.5,24-34,24-39,Open,51.05,52,127.5,-132.5,135,,135,72.5,75,77.5,,77.5,140,150,155,,155,367.5,15,453.76,464.69,412.21,94.30,Yes,Brazil,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Eduardo Saramago,M,SBD,Raw,30.5,24-34,24-39,Open,82.5,83,225,237.5,242.5,,242.5,142.5,147.5,152.5,,152.5,262.5,275,285,,285,680,24,460.63,455.54,438.32,94.42,Yes,Brazil,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Kai-Hsuan Hsieh,F,SBD,Raw,27,24-34,24-39,Open,55.25,57,135,145,157.5,,157.5,65,75,-82.5,,75,150,165,172.5,,172.5,405,22,473.67,481.59,426.11,97.30,Yes,Taiwan,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Lee Yuen Ching Stella Audrey,F,SBD,Raw,29,24-34,24-39,Open,51.55,52,137.5,142.5,-147.5,,142.5,72.5,77.5,-80,,77.5,145,152.5,-157.5,,152.5,372.5,12,456.80,467.50,414.53,94.77,Yes,Hong Kong,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Shiva Karout,M,SBD,Raw,33,24-34,24-39,Open,72.1,74,220,230,-235,,230,130,142.5,-150,,142.5,220,235,-250,,235,607.5,19,447.23,445.27,430.97,90.40,Yes,Lebanon,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Ching-Lun Lin,M,SBD,Raw,32,24-34,24-39,Open,65.8,66,180,200,-210,,200,120,-130,-130,,120,220,235,-250,,235,555,15,435.84,436.87,424.58,86.65,Yes,Taiwan,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Daniel Kemmink,M,SBD,Raw,29.5,24-34,24-39,Open,116.6,120,-245,-245,245,,245,155,165,-170,,165,260,280,300,,300,710,22,411.76,411.06,393.66,83.58,Yes,Thailand,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Naoki Terunuma,M,SBD,Raw,25.5,24-34,24-39,Open,92.55,93,280,-287.5,-287.5,,280,185,190,192.5,,192.5,290,-305,305,,305,777.5,15,495.84,489.55,468.64,101.95,Yes,Japan,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Yuki Shibuya,M,SBD,Raw,37,35-39,24-39,Open,73.5,74,260,272.5,-283.5,,272.5,155,162.5,-167.5,,162.5,240,255,-265,,255,690,15,501.53,498.73,482.31,101.66,Yes,Japan,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Yusuke Satake,M,SBD,Raw,26.5,24-34,24-39,Open,65.85,66,-230,230,242.5,,242.5,150,155,160,,160,250,262.5,-272.5,,262.5,665,4,521.93,523.13,508.39,103.79,Yes,Japan,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Ibnu Ayyub,M,SBD,Raw,30,24-34,24-39,Open,58.6,59,180,-185,-185,,180,100,105,110,,110,200,210,220,,220,510,13,438.99,444.56,434.70,84.70,Yes,Brunei,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Alireza Rezaei,M,SBD,Raw,33.5,24-34,24-39,Open,104.75,105,315,-327.5,-327.5,,315,192.5,-197.5,197.5,,197.5,285,297.5,-307.5,,297.5,810,16,488.98,484.42,462.57,100.12,Yes,Iran,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
