Name,Sex,Event,Equipment,Age,AgeClass,BirthYearClass,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,Best3DeadliftKg,TotalKg,Place,Dots,Wilks,Glossbrenner,Goodlift,Tested,Country,State,Federation,ParentFederation,Date,MeetCountry,MeetState,MeetTown,MeetName
Xin Miao Koh,M,SBD,Raw,25,24-34,24-39,Open,65.25,66,210,230,245,,245,130,137.5,-142.5,,137.5,235,255,-270,,255,637.5,6,503.77,505.32,491.29,99.98,Yes,Singapore,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Natalie Kuan,F,SBD,Raw,32.5,24-34,24-39,Open,46.75,47,95,102.5,105,,105,57.5,-62.5,62.5,,62.5,127.5,135,140,,140,307.5,16,404.59,415.15,370.23,85.69,Yes,Singapore,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Cheong Cheng Wen,M,SBD,Raw,25.5,24-34,24-39,Open,73.3,74,225,235,240,,240,150,157.5,-160,,157.5,295,-307.5,-307.5,,295,692.5,14,504.25,501.52,485.06,102.17,Yes,Singapore,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Christophe Ang,M,SBD,Raw,28,24-34,24-39,Open,82.7,83,230,242.5,-247.5,,242.5,182.5,187.5,190,,190,270,282.5,-290,,282.5,715,20,483.67,478.29,460.16,99.16,Yes,Singapore,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Amanda Seow,F,SBD,Raw,32.5,24-34,24-39,Open,56.5,57,135,-142.5,142.5,,142.5,82.5,87.5,-92.5,,87.5,175,185,187.5,,187.5,417.5,13,481.10,487.82,431.42,98.58,Yes,Singapore,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Farhanna Farid,F,SBD,Raw,30.5,24-34,24-39,Open,51.5,52,120,127.5,-132.5,,127.5,62.5,67.5,70,,70,190,197.5,203,,203,400.5,8,491.47,503.01,446.04,101.98,Yes,Singapore,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Santos Gabriel Jiménez Quintero,M,SBD,Raw,30.5,24-34,24-39,Open,73.2,74,212.5,225,-235,,225,160,170,177.5,,177.5,250,270,-282.5,,270,672.5,16,490.13,487.51,471.54,99.29,Yes,Mexico,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Charles Degiorgio,M,SBD,Raw,43,40-44,40-49,Open,82.4,83,220,230,-237.5,,230,110,-115,-115,,110,240,-250,-250,,240,580,32,393.16,388.83,374.15,80.58,Yes,Malta,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Matteo Aquilina,M,SBD,Raw,33.5,24-34,24-39,Open,65.3,66,175,-185,185,,185,105,110,112.5,,112.5,195,205,215,,215,512.5,16,404.76,405.98,394.69,80.34,Yes,Malta,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Rubén Rico Martín,M,SBD,Raw,38.5,35-39,24-39,Open,200,120+,360,-380,380,,380,225,-235,-235,,225,320,-337.5,347.5,,347.5,952.5,7,476.51,506.34,471.87,91.83,Yes,Spain,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Víctor Vázquez Hernández-Carrillo,M,SBD,Raw,27.5,24-34,24-39,Open,119.05,120,315,330,340,,340,205,215,-217.5,,215,322.5,340,-347.5,,340,895,5,515.37,515.52,493.95,104.40,Yes,Spain,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Daniel Villacampa Estallo,M,SBD,Raw,25.5,24-34,24-39,Open,104.95,105,270,285,-295,,285,170,-180,180,,180,300,325,-342.5,,325,790,20,476.54,472.15,450.85,97.56,Yes,Spain,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Guillermo González López,M,SBD,Raw,32.5,24-34,24-39,Open,91.85,93,250,265,275,,275,180,187.5,-192.5,,187.5,270,282.5,290,,290,752.5,25,481.68,475.55,455.38,99.04,Yes,Spain,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Álvaro Fernández Arcas,M,SBD,Raw,33,24-34,24-39,Open,65.2,66,220,230,-232.5,,230,140,147.5,-150,,147.5,235,242.5,247.5,,247.5,625,8,494.18,495.73,481.98,98.06,Yes,Spain,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Iván Campano Díaz,M,SBD,Raw,21.5,20-23,19-23,Open,59,59,192.5,205,210,,210,120,125,130,,130,235,250,262.5,,262.5,602.5,2,515.66,521.87,510.10,99.70,Yes,Spain,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Paula Fuentes Tubella,F,SBD,Raw,24.5,24-34,24-39,Open,81.15,84,162.5,-172.5,175,,175,87.5,-92.5,-92.5,,87.5,175,190,-200,,190,452.5,15,423.37,410.81,359.98,86.65,Yes,Spain,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Rosa Erimo Sabadell,F,SBD,Raw,31,24-34,24-39,Open,75.25,76,157.5,170,180,,180,90,97.5,100,,100,200,215,225,,225,505,10,491.00,479.08,421.37,100.03,Yes,Spain,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Sara Sanchez-Manjavacas Ruiz,F,SBD,Raw,24.5,24-34,24-39,Open,75.45,76,167.5,177.5,187.5,,187.5,105,112.5,-115,,112.5,200,-215,-227.5,,200,500,11,485.46,473.55,416.46,98.92,Yes,Spain,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Sheila Badaseraye,F,SBD,Raw,35.5,35-39,24-39,Open,60.95,63,152.5,162.5,-167.5,,162.5,85,90,-92.5,,90,160,175,-182.5,,175,427.5,11,469.25,470.87,415.95,95.60,Yes,Spain,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Laura Rey Villameá,F,SBD,Raw,29.5,24-34,24-39,Open,55.95,57,127.5,132.5,137.5,,137.5,-82.5,-82.5,-82.5,,-82.5,170,180,185,,185,,DQ,,,,,Yes,Spain,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Maiara Da Silva Días,F,SBD,Raw,23.5,24-34,24-39,Open,56.65,57,170,177.5,-180,,177.5,85,87.5,90,,90,190,197.5,205,,205,472.5,3,543.53,550.94,487.22,111.35,Yes,Spain,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
María Estela Cuervo Usano,F,SBD,Raw,27.5,24-34,24-39,Open,51.75,52,135,145,-150,,145,-67.5,67.5,-72.5,,67.5,140,150,-160,,150,362.5,16,443.34,453.59,402.14,91.91,Yes,Spain,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Ana Lores Fernández,F,SBD,Raw,26.5,24-34,24-39,Open,46.5,47,127.5,135,142.5,,142.5,60,65,-67.5,,65,130,137.5,142.5,,142.5,350,8,462.35,474.34,423.20,98.06,Yes,Spain,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Adrián Manzanares Herrero,M,SBD,Raw,24.5,24-34,24-39,Open,73.7,74,217.5,230,240,,240,125,130,-135,,130,260,280,-300,,280,650,17,471.62,468.91,453.42,95.63,Yes,Spain,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
